year,rain_year,rain_winter,rain_summer
1980,1182,292,174
1981,1098,257,242
1982,1156,330,124
1983,993,391,141
1984,1182,217,343
1985,1027,304,229
1986,1151,295,267
1987,1210,343,294
1988,976,309,200
1989,1130,470,209
1990,1022,305,216
1991,1151,246,280
1992,1130,308,219
1993,1162,422,193
1994,1110,484,103
1995,856,245,172
1996,1047,258,256
1997,1169,341,285
1998,1268,360,225
1999,1204,417,197
2000,1239,328,236
2001,1185,380,259
2002,1021,272,176
2003,1165,348,315
2004,1095,309,217
2005,1046,206,188
2006,1387,437,357
2007,1225,386,320
2008,1139,268,323
2009,1103,255,244
2010,1053,265,267
2011,1285,339,379
2012,1090,350,187